Student_ID,Age,Gender,Department,Year_of_Study,CGPA,Attendance_Percentage,Study_Hours_per_Week,Extracurricular_Activities,Part_Time_Job,Satisfaction_Level,Scholarship,Parental_Education_Level,Internet_Access,Family_Income
S3066,20,Non-binary,Physics,First,3.01,66.44,21,No,No,Very Satisfied,Yes,Bachelor's,No,Medium
S3067,26,Female,Economics,Third,3.19,73.85,22,No,Yes,Neutral,Yes,Bachelor's,No,Low
S3068,22,Non-binary,Physics,Fourth,2.65,90.66,18,Yes,Yes,Neutral,Yes,PhD,Yes,Medium
S3069,29,Non-binary,Computer Science,Second,2.35,,33,Yes,Yes,Neutral,Yes,High School,No,High
S3070,26,Male,Physics,Third,3.63,71.53,14,Yes,No,Neutral,Yes,Bachelor's,Yes,Medium
S3071,26,Non-binary,Biology,Fourth,2.77,67.4,21,Yes,Yes,Dissatisfied,Yes,Master's,No,Medium
S3072,18,Female,Chemistry,Fourth,2.77,67.59,36,No,No,Very Dissatisfied,No,Bachelor's,Yes,Medium
S3073,19,Female,Economics,First,,73.4,24,No,Yes,Neutral,No,High School,No,High
S3074,22,Non-binary,Biology,Fourth,4.12,97.3,21,Yes,Yes,Neutral,Yes,Bachelor's,Yes,Low
S3075,21,Female,Biology,Third,3.16,96.8,11,Yes,Yes,Very Dissatisfied,No,Master's,Yes,Low
S3076,27,Male,Computer Science,Fourth,3.44,77.26,34,Yes,No,Satisfied,No,PhD,Yes,Medium
S3077,26,Non-binary,Computer Science,Fourth,2.43,,14,No,Yes,Dissatisfied,Yes,Bachelor's,Yes,Medium
S3078,24,Non-binary,Biology,First,3.37,90.41,36,Yes,Yes,Dissatisfied,No,High School,No,Low
S3079,23,Non-binary,Biology,First,3.43,84.05,30,Yes,No,Very Satisfied,No,Bachelor's,Yes,Medium
S3080,24,Female,Mathematics,Third,2.52,94.08,21,Yes,No,Dissatisfied,No,High School,No,Low
S3081,18,Female,Mathematics,Fourth,2.73,86.53,5,Yes,Yes,Very Satisfied,No,Bachelor's,Yes,High
S3082,18,Non-binary,Chemistry,Second,3.61,97.62,30,Yes,No,Satisfied,No,Bachelor's,Yes,Medium
S3083,25,Female,Biology,Fourth,2.86,94.31,34,No,Yes,Very Dissatisfied,No,PhD,No,Low
S3084,19,Female,Physics,Second,3.71,92.76,13,No,Yes,Neutral,No,PhD,Yes,Medium
S3085,29,Non-binary,Economics,Third,3.01,69.58,37,Yes,No,Very Satisfied,No,Bachelor's,No,Medium
S3086,27,Non-binary,Mathematics,First,2.99,69.31,30,Yes,Yes,Dissatisfied,No,High School,Yes,Medium
S3087,28,Female,Computer Science,Third,3.49,87.06,14,Yes,No,Neutral,No,Master's,No,High
S3088,26,Non-binary,Biology,First,4.03,54.19,36,Yes,Yes,Satisfied,No,PhD,No,Medium
S3089,24,Non-binary,Physics,First,3.33,66.11,37,Yes,Yes,Very Dissatisfied,No,Bachelor's,Yes,High
S3090,23,Non-binary,Economics,Fourth,3.09,96.61,31,No,No,Very Satisfied,Yes,High School,No,Low
S3091,18,Non-binary,Physics,Fourth,,72.51,33,Yes,Yes,Dissatisfied,No,Bachelor's,No,Medium
S3092,18,Female,Physics,First,3.67,63.49,23,Yes,Yes,Neutral,Yes,Bachelor's,Yes,High
S3093,19,Non-binary,Computer Science,Second,3.27,,22,Yes,No,Neutral,Yes,PhD,Yes,Medium
S3094,23,Male,Mathematics,Second,3.19,64.43,39,Yes,No,Neutral,No,High School,Yes,Low
S3095,23,Non-binary,Physics,Fourth,3.35,88.41,32,No,No,Very Dissatisfied,No,Bachelor's,No,Medium
S3096,19,Male,Economics,Third,2.28,92.53,14,No,Yes,Very Satisfied,No,PhD,No,Medium
S3097,18,Non-binary,Mathematics,Second,2.48,89.13,7,Yes,No,Very Dissatisfied,Yes,High School,Yes,Medium
S3098,27,Male,Chemistry,First,3.12,57.45,33,Yes,No,Dissatisfied,Yes,High School,Yes,Medium
S3099,22,Male,Computer Science,Fourth,2.61,66.8,20,Yes,No,Very Satisfied,Yes,Bachelor's,No,Medium
S3100,22,Non-binary,Mathematics,Fourth,3.02,60.7,5,Yes,No,Satisfied,No,Bachelor's,No,Low
S3101,19,Non-binary,Mathematics,First,3.1,52.14,22,Yes,No,Satisfied,Yes,High School,Yes,Low
S3102,23,Non-binary,Physics,Third,2.51,86.96,8,Yes,Yes,Very Dissatisfied,No,High School,No,Low
S3103,26,Male,Economics,First,3.3,71.42,9,Yes,Yes,Very Dissatisfied,No,PhD,Yes,Medium
S3104,19,Female,Physics,Third,2.05,63.83,25,No,Yes,Very Dissatisfied,Yes,Master's,Yes,Medium
S3105,27,Female,Economics,Fourth,2.84,65.38,8,No,Yes,Satisfied,No,High School,No,Medium
S3106,19,Non-binary,Computer Science,Third,2.23,56.75,24,Yes,Yes,Satisfied,No,Bachelor's,Yes,Low
S3107,20,Female,Mathematics,First,2.84,91.34,23,No,Yes,Very Satisfied,Yes,High School,No,High
S3108,24,Female,Biology,Fourth,3.48,57.2,39,Yes,No,Very Satisfied,No,Bachelor's,No,High
S3109,23,Non-binary,Economics,Second,,66.92,28,Yes,Yes,Very Dissatisfied,No,Master's,Yes,Low
S3110,29,Male,Economics,Fourth,1.99,50.37,24,Yes,No,Neutral,No,High School,Yes,Medium
S3111,25,Non-binary,Physics,First,2.88,71.82,32,Yes,No,Very Satisfied,Yes,Bachelor's,No,Medium
S3112,25,Female,Physics,First,2.58,,28,Yes,No,Satisfied,No,Bachelor's,No,High
S3113,23,Male,Chemistry,Fourth,3.0,,24,Yes,No,Dissatisfied,No,Bachelor's,No,Medium
S3114,29,Female,Economics,Fourth,2.88,85.77,28,Yes,Yes,Neutral,Yes,PhD,Yes,Medium
S3115,28,Male,Computer Science,Fourth,3.09,51.93,10,Yes,Yes,Satisfied,No,Bachelor's,Yes,Medium
S3116,27,Female,Mathematics,Third,3.59,,29,Yes,Yes,Neutral,No,Master's,Yes,Medium
S3117,20,Non-binary,Mathematics,Second,2.81,95.23,36,Yes,Yes,Dissatisfied,Yes,Bachelor's,Yes,Low
S3118,20,Female,Mathematics,Third,3.04,,21,No,No,Very Dissatisfied,No,High School,Yes,Medium
S3119,18,Female,Economics,First,2.84,69.47,21,Yes,Yes,Neutral,No,Master's,No,Low
S3120,24,Male,Physics,Fourth,3.51,58.32,9,No,No,Dissatisfied,No,Bachelor's,Yes,Medium
S3121,22,Female,Computer Science,Third,,63.04,21,Yes,Yes,Dissatisfied,Yes,Master's,Yes,Low
S3122,21,Non-binary,Mathematics,Third,,82.9,13,Yes,No,Neutral,Yes,High School,Yes,Medium
S3123,27,Non-binary,Economics,First,3.38,97.27,24,Yes,Yes,Neutral,Yes,Master's,No,Low
S3124,21,Non-binary,Biology,Third,2.03,80.79,6,Yes,Yes,Neutral,Yes,PhD,No,Medium
S3125,21,Male,Chemistry,First,3.39,51.32,23,Yes,No,Neutral,No,PhD,Yes,High
S3126,23,Male,Chemistry,Third,3.19,82.54,13,No,Yes,Very Dissatisfied,Yes,Master's,No,Medium
S3127,25,Female,Mathematics,Second,2.66,97.24,23,No,Yes,Satisfied,Yes,Bachelor's,Yes,Medium
S3128,25,Female,Physics,First,3.64,67.93,8,Yes,Yes,Very Satisfied,No,Bachelor's,Yes,High
S3129,22,Female,Chemistry,Second,3.49,96.68,10,No,No,Very Dissatisfied,No,Bachelor's,Yes,Low
S3130,23,Male,Chemistry,Third,2.91,83.53,15,Yes,Yes,Neutral,No,Bachelor's,No,Low
S3131,21,Male,Chemistry,Second,1.97,,25,No,No,Dissatisfied,No,High School,Yes,Medium
S3132,29,Female,Chemistry,Second,2.97,57.27,29,Yes,No,Very Dissatisfied,No,High School,Yes,High
S3133,28,Male,Mathematics,Second,2.5,58.81,34,No,Yes,Very Satisfied,No,PhD,No,Medium
S3134,26,Male,Economics,Third,1.9,84.96,22,No,Yes,Very Satisfied,No,Master's,Yes,Medium
S3135,25,Non-binary,Computer Science,First,3.29,79.48,29,No,No,Very Dissatisfied,Yes,High School,No,Low
S3136,27,Non-binary,Computer Science,Third,3.76,72.78,25,No,Yes,Dissatisfied,Yes,PhD,No,Medium
S3137,29,Female,Physics,Third,2.95,63.17,27,Yes,No,Dissatisfied,No,Bachelor's,Yes,Medium
S3138,27,Female,Economics,Third,3.13,95.36,34,Yes,No,Dissatisfied,No,PhD,No,Low
S3139,18,Non-binary,Biology,First,3.67,60.69,22,Yes,No,Satisfied,No,High School,No,High
S3140,19,Male,Computer Science,Fourth,3.09,,37,Yes,No,Dissatisfied,Yes,Master's,Yes,Medium
S3141,26,Female,Biology,Third,,52.75,39,Yes,Yes,Very Satisfied,Yes,High School,Yes,Medium
S3142,25,Female,Computer Science,Third,1.89,,26,No,Yes,Neutral,No,Master's,Yes,Low
S3143,20,Female,Computer Science,First,3.41,96.14,28,Yes,Yes,Neutral,No,Master's,Yes,Medium
S3144,25,Male,Physics,Fourth,3.21,59.38,27,Yes,Yes,Very Satisfied,No,Bachelor's,Yes,Low
S3145,29,Non-binary,Chemistry,Fourth,,60.2,5,No,No,Dissatisfied,No,Master's,Yes,Medium
S3146,18,Female,Physics,Fourth,1.78,,19,Yes,Yes,Neutral,No,Master's,Yes,Medium
S3147,27,Non-binary,Computer Science,Fourth,4.04,78.35,32,Yes,No,Very Satisfied,No,Bachelor's,No,Medium
S3148,21,Non-binary,Economics,First,2.6,58.8,24,Yes,Yes,Dissatisfied,Yes,PhD,Yes,High
S3149,20,Male,Chemistry,First,3.55,57.71,20,No,Yes,Satisfied,No,Master's,Yes,High
S3150,23,Male,Economics,Fourth,2.05,55.85,9,Yes,No,Neutral,Yes,High School,Yes,Low
S3151,24,Male,Economics,Second,2.61,93.05,19,No,Yes,Dissatisfied,No,High School,Yes,Low
S3152,21,Male,Economics,First,2.73,82.72,6,No,Yes,Dissatisfied,Yes,PhD,Yes,Low
S3153,24,Male,Chemistry,Second,2.49,97.67,28,No,No,Neutral,Yes,PhD,Yes,Medium
S3154,26,Male,Economics,Second,2.59,58.29,17,No,No,Dissatisfied,No,High School,No,Medium
S3155,28,Female,Chemistry,Fourth,3.81,73.03,27,Yes,No,Very Dissatisfied,No,Master's,Yes,Medium
S3156,19,Non-binary,Biology,Fourth,2.83,87.15,16,Yes,No,Very Dissatisfied,Yes,Master's,No,Medium
S3157,28,Male,Computer Science,Third,4.06,60.68,37,Yes,No,Satisfied,Yes,Bachelor's,Yes,Low
S3158,20,Female,Mathematics,Second,3.53,84.23,29,Yes,No,Very Satisfied,Yes,PhD,No,Low
S3159,22,Non-binary,Economics,Third,2.0,73.69,39,No,No,Very Dissatisfied,No,Master's,No,Low
S3160,20,Male,Physics,Fourth,2.83,71.54,39,Yes,No,Very Dissatisfied,No,PhD,Yes,Medium
S3161,28,Male,Biology,Second,2.81,82.25,5,Yes,No,Satisfied,Yes,Master's,No,Medium
S3162,25,Female,Physics,First,2.53,73.38,8,No,No,Very Dissatisfied,Yes,PhD,Yes,Medium
S3163,29,Non-binary,Mathematics,Third,3.61,91.0,35,No,No,Very Dissatisfied,Yes,High School,No,Medium
S3164,27,Male,Chemistry,Fourth,3.43,96.53,32,Yes,Yes,Neutral,No,High School,No,Low
S3165,25,Non-binary,Mathematics,Second,4.08,,15,Yes,Yes,Satisfied,No,Master's,No,Medium
S3166,25,Female,Physics,Fourth,2.77,65.03,36,No,No,Dissatisfied,Yes,Bachelor's,Yes,Medium
S3167,29,Male,Mathematics,Third,3.22,88.86,6,No,Yes,Dissatisfied,No,PhD,No,High
S3168,29,Non-binary,Computer Science,Fourth,,58.52,17,No,No,Very Satisfied,No,High School,Yes,Low
S3169,26,Female,Mathematics,Fourth,2.8,54.75,21,No,No,Very Satisfied,No,PhD,Yes,Medium
S3170,21,Female,Economics,First,3.41,75.94,8,No,No,Very Dissatisfied,No,Master's,Yes,Medium
S3171,22,Male,Computer Science,Fourth,4.1,82.34,35,Yes,Yes,Very Dissatisfied,Yes,Bachelor's,No,Low
S3172,22,Non-binary,Economics,Second,3.49,,7,No,No,Dissatisfied,Yes,Bachelor's,Yes,Medium
S3173,25,Male,Mathematics,Second,3.44,97.76,16,Yes,Yes,Satisfied,No,Master's,Yes,High
S3174,24,Male,Computer Science,First,2.97,93.67,22,Yes,No,Neutral,No,High School,Yes,High
S3175,26,Non-binary,Computer Science,Second,3.42,99.43,34,Yes,Yes,Very Satisfied,Yes,Bachelor's,No,Medium
S3176,25,Non-binary,Mathematics,Fourth,3.59,73.78,15,No,Yes,Very Dissatisfied,No,Bachelor's,Yes,Medium
S3177,19,Non-binary,Biology,Fourth,2.57,65.83,28,Yes,No,Very Satisfied,No,Bachelor's,No,Medium
S3178,27,Female,Chemistry,Second,3.02,72.99,25,Yes,Yes,Dissatisfied,No,PhD,No,Low
S3179,29,Female,Chemistry,Third,2.84,82.21,39,No,Yes,Satisfied,Yes,PhD,No,Medium
S3180,21,Non-binary,Chemistry,Fourth,2.68,75.36,8,Yes,No,Dissatisfied,No,High School,Yes,Low
S3181,23,Female,Computer Science,Second,3.49,,30,Yes,Yes,Neutral,Yes,Master's,No,Low
S3182,29,Male,Chemistry,Fourth,2.88,94.34,12,Yes,Yes,Satisfied,No,PhD,No,Medium
S3183,19,Non-binary,Computer Science,Fourth,3.24,58.29,28,Yes,Yes,Neutral,No,Bachelor's,Yes,Medium
S3184,24,Male,Biology,First,,56.01,16,No,Yes,Neutral,Yes,High School,No,Medium
S3185,20,Non-binary,Mathematics,Second,2.87,74.93,9,No,No,Satisfied,Yes,PhD,No,Medium
S3186,20,Male,Mathematics,Fourth,,99.09,20,Yes,Yes,Neutral,No,High School,No,Low
S3187,28,Non-binary,Computer Science,Third,,52.95,36,No,Yes,Very Satisfied,No,Bachelor's,Yes,Medium
S3188,19,Male,Computer Science,Second,,99.33,33,Yes,No,Very Dissatisfied,Yes,High School,Yes,Medium
S3189,28,Non-binary,Biology,Third,3.15,98.39,37,Yes,Yes,Satisfied,No,Bachelor's,No,Low
S3190,25,Non-binary,Chemistry,Second,2.02,64.63,18,No,Yes,Dissatisfied,No,High School,Yes,Medium
S3191,23,Female,Biology,Third,3.41,94.55,29,No,Yes,Dissatisfied,No,Master's,No,Medium
S3192,18,Male,Mathematics,Third,2.72,50.39,12,Yes,No,Very Dissatisfied,Yes,High School,No,Medium
S3193,29,Female,Mathematics,Second,3.29,72.7,31,Yes,No,Dissatisfied,No,Master's,No,Medium
S3194,18,Male,Economics,First,,70.11,39,Yes,Yes,Very Dissatisfied,Yes,Master's,Yes,Medium
S3195,24,Female,Chemistry,First,3.24,95.13,26,Yes,No,Very Satisfied,No,Bachelor's,No,Medium
S3196,25,Non-binary,Mathematics,Second,3.94,73.61,11,Yes,No,Dissatisfied,Yes,High School,No,Medium
S3197,22,Female,Economics,Fourth,3.5,70.9,16,No,Yes,Dissatisfied,Yes,PhD,Yes,Medium
S3198,29,Female,Computer Science,Second,2.77,81.98,13,Yes,Yes,Very Satisfied,Yes,Master's,No,Medium
S3199,28,Non-binary,Mathematics,Second,2.82,68.79,39,No,No,Dissatisfied,Yes,Bachelor's,Yes,Low
S3200,22,Female,Physics,Fourth,2.96,76.83,23,No,Yes,Dissatisfied,No,PhD,No,Medium
S3201,21,Non-binary,Chemistry,Second,2.82,97.78,32,Yes,No,Very Satisfied,Yes,High School,No,Medium
S3202,23,Male,Economics,Second,3.18,60.13,33,No,No,Very Satisfied,No,Master's,Yes,Low
S3203,23,Female,Chemistry,Fourth,2.43,72.95,12,No,No,Very Satisfied,No,High School,Yes,Medium
S3204,20,Non-binary,Chemistry,Fourth,,50.77,31,Yes,Yes,Dissatisfied,Yes,High School,No,Medium
S3205,26,Non-binary,Physics,First,,92.11,9,No,No,Very Dissatisfied,No,PhD,Yes,Medium
S3206,29,Female,Biology,Third,,54.6,33,No,Yes,Very Dissatisfied,No,Bachelor's,Yes,Medium
S3207,28,Male,Computer Science,Third,2.41,54.74,39,Yes,Yes,Satisfied,Yes,Bachelor's,No,High
S3208,24,Female,Chemistry,First,,94.14,37,Yes,No,Satisfied,No,PhD,No,High
S3209,18,Non-binary,Mathematics,First,3.54,70.46,36,No,Yes,Dissatisfied,No,Bachelor's,No,Low
S3210,24,Male,Computer Science,Third,2.68,84.36,25,Yes,Yes,Dissatisfied,No,High School,No,High
S3211,22,Female,Mathematics,First,,92.89,14,No,No,Very Dissatisfied,No,PhD,No,Medium
S3212,22,Non-binary,Computer Science,Second,,68.72,20,No,No,Neutral,Yes,Master's,Yes,Low
S3213,19,Female,Computer Science,First,2.59,63.08,15,No,Yes,Satisfied,Yes,PhD,Yes,Low
S3214,21,Male,Economics,First,,58.48,23,Yes,Yes,Very Dissatisfied,Yes,PhD,Yes,Medium
S3215,29,Male,Mathematics,First,2.73,80.36,17,Yes,No,Dissatisfied,Yes,PhD,No,Medium
S3216,23,Male,Mathematics,First,3.38,,19,Yes,No,Satisfied,No,High School,Yes,Low
S3217,27,Male,Computer Science,Third,3.11,,36,Yes,Yes,Satisfied,No,PhD,No,High
S3218,28,Male,Chemistry,Fourth,3.46,65.86,23,No,Yes,Satisfied,Yes,High School,Yes,Low
S3219,24,Female,Mathematics,Third,2.4,67.39,19,Yes,No,Dissatisfied,Yes,Bachelor's,No,Medium
S3220,28,Male,Physics,Third,3.12,62.46,26,Yes,No,Very Dissatisfied,Yes,High School,No,Medium
S3221,22,Male,Physics,Fourth,3.05,70.92,17,Yes,No,Neutral,Yes,Master's,No,High
S3222,26,Non-binary,Computer Science,Third,2.63,58.11,24,No,Yes,Dissatisfied,Yes,Bachelor's,Yes,Low
S3223,20,Male,Biology,Second,2.48,,19,No,Yes,Satisfied,No,PhD,Yes,Low
S3224,18,Non-binary,Computer Science,Fourth,2.96,88.89,11,No,Yes,Very Satisfied,Yes,High School,No,Medium
S3225,21,Non-binary,Computer Science,Second,2.85,60.78,26,Yes,Yes,Very Dissatisfied,Yes,Master's,Yes,Medium
S3226,26,Non-binary,Chemistry,Third,3.59,97.36,24,No,Yes,Dissatisfied,No,PhD,Yes,Low
S3227,21,Female,Chemistry,Third,3.41,74.65,23,No,Yes,Satisfied,No,High School,No,Low
S3228,19,Female,Economics,Fourth,2.66,55.35,31,Yes,No,Neutral,Yes,Bachelor's,Yes,Medium
S3229,27,Non-binary,Biology,Third,2.87,97.15,12,No,No,Satisfied,Yes,High School,Yes,Low
S3230,22,Female,Biology,First,,72.83,22,No,Yes,Satisfied,No,Master's,Yes,Medium
S3231,20,Male,Biology,Second,3.33,77.85,14,No,Yes,Dissatisfied,Yes,High School,Yes,Medium
S3232,29,Female,Biology,Second,3.59,59.26,39,No,No,Neutral,Yes,Master's,Yes,Medium
S3233,26,Male,Biology,First,2.97,66.67,19,Yes,No,Very Satisfied,Yes,High School,Yes,Medium
S3234,21,Male,Computer Science,Fourth,3.08,85.18,27,Yes,No,Dissatisfied,No,Master's,No,Medium
S3235,23,Female,Computer Science,Fourth,,56.2,16,No,Yes,Very Dissatisfied,Yes,High School,Yes,Medium
S3236,19,Female,Economics,First,2.44,78.52,31,Yes,Yes,Neutral,No,High School,No,High
S3237,23,Non-binary,Physics,First,3.46,84.68,10,No,Yes,Very Satisfied,Yes,High School,Yes,Low
S3238,20,Female,Physics,Second,2.45,,28,Yes,No,Very Satisfied,No,Master's,Yes,Low
S3239,29,Female,Economics,First,,91.88,26,No,No,Neutral,Yes,PhD,No,Medium
S3240,29,Female,Economics,First,3.38,52.82,13,No,No,Very Dissatisfied,Yes,High School,No,Low
S3241,26,Male,Mathematics,First,2.8,62.35,14,Yes,Yes,Satisfied,No,High School,No,Medium
S3242,28,Male,Computer Science,Third,2.6,98.18,7,No,No,Dissatisfied,No,Bachelor's,No,Low
S3243,19,Male,Biology,First,2.26,54.05,10,Yes,Yes,Very Dissatisfied,No,High School,No,Low
S3244,29,Non-binary,Mathematics,Third,2.26,91.3,30,Yes,Yes,Very Satisfied,No,High School,No,High
S3245,29,Non-binary,Chemistry,Second,2.78,82.6,18,No,Yes,Very Dissatisfied,No,PhD,No,Low
S3246,26,Non-binary,Computer Science,Second,2.93,79.92,23,Yes,No,Satisfied,No,Master's,No,Low
S3247,22,Male,Economics,Fourth,3.62,79.08,27,Yes,Yes,Very Dissatisfied,Yes,Bachelor's,Yes,Low
S3248,25,Female,Physics,Second,2.93,58.32,9,No,Yes,Very Dissatisfied,Yes,Bachelor's,No,Medium
S3249,19,Non-binary,Computer Science,Fourth,2.84,83.44,19,No,Yes,Very Satisfied,Yes,Bachelor's,Yes,Low
S3250,23,Non-binary,Economics,Third,2.86,97.58,34,Yes,Yes,Very Dissatisfied,Yes,PhD,Yes,Low
S3251,20,Male,Computer Science,First,1.87,53.85,37,No,No,Dissatisfied,Yes,Bachelor's,No,Low
S3252,29,Non-binary,Computer Science,Second,2.75,66.62,23,Yes,Yes,Neutral,No,Master's,Yes,High
S3253,29,Female,Computer Science,First,,73.61,9,No,Yes,Very Satisfied,Yes,High School,No,Medium
S3254,27,Male,Chemistry,Fourth,3.04,61.61,13,No,Yes,Neutral,Yes,High School,No,Low
S3255,22,Male,Physics,Third,3.39,87.04,11,No,No,Very Dissatisfied,No,Master's,Yes,Medium
S3256,29,Female,Computer Science,Second,3.54,84.43,28,No,No,Satisfied,Yes,Master's,No,High
S3257,25,Female,Economics,First,2.18,,20,Yes,Yes,Very Satisfied,Yes,Master's,Yes,High
S3258,27,Female,Chemistry,Fourth,2.67,78.47,14,No,No,Very Dissatisfied,Yes,PhD,Yes,Low
S3259,18,Non-binary,Mathematics,First,,68.44,25,No,Yes,Very Dissatisfied,No,High School,Yes,Low
S3260,22,Female,Computer Science,Second,3.05,,25,No,No,Satisfied,Yes,PhD,Yes,High
S3261,20,Male,Chemistry,First,2.93,92.41,19,Yes,No,Very Dissatisfied,Yes,High School,No,High
S3262,21,Female,Biology,Third,3.52,52.73,17,No,No,Dissatisfied,No,Master's,No,Low
S3263,19,Male,Mathematics,Second,,73.37,11,Yes,Yes,Satisfied,No,Bachelor's,Yes,Low
S3264,26,Male,Physics,Fourth,2.63,73.77,12,No,No,Very Satisfied,Yes,Master's,Yes,High
S3265,20,Non-binary,Computer Science,Second,2.6,78.51,6,Yes,No,Very Satisfied,No,Master's,No,Low
S3266,19,Female,Computer Science,Fourth,2.34,59.88,26,Yes,Yes,Neutral,No,PhD,Yes,Medium
S3267,27,Non-binary,Chemistry,Fourth,2.89,93.56,8,Yes,Yes,Dissatisfied,Yes,Bachelor's,Yes,High
S3268,28,Female,Physics,Second,3.09,98.27,11,Yes,No,Dissatisfied,No,PhD,Yes,Low
S3269,26,Female,Biology,Fourth,2.48,77.45,5,Yes,No,Very Satisfied,No,Bachelor's,No,Low
S3270,24,Female,Mathematics,Second,2.95,62.81,23,Yes,No,Very Dissatisfied,Yes,Bachelor's,Yes,Medium
S3271,23,Female,Economics,Third,2.7,93.84,34,No,No,Dissatisfied,No,Bachelor's,No,Medium
S3272,18,Female,Physics,Third,2.96,99.41,6,No,No,Dissatisfied,Yes,Master's,Yes,Low
S3273,22,Male,Computer Science,First,3.72,87.09,17,Yes,Yes,Very Dissatisfied,No,PhD,No,Medium
S3274,29,Male,Chemistry,Third,3.04,66.69,32,No,No,Satisfied,No,Master's,No,High
S3275,28,Female,Biology,Fourth,3.05,61.8,18,Yes,Yes,Very Dissatisfied,No,High School,No,Low
S3276,28,Male,Chemistry,First,4.02,57.83,7,Yes,No,Neutral,Yes,PhD,Yes,Medium
S3277,20,Non-binary,Mathematics,First,2.75,61.75,20,No,No,Neutral,Yes,High School,Yes,Medium
S3278,18,Non-binary,Physics,Second,3.31,61.37,29,Yes,No,Very Satisfied,No,Master's,Yes,High
S3279,21,Non-binary,Chemistry,First,2.73,98.37,7,No,Yes,Satisfied,No,High School,No,Medium
S3280,19,Female,Economics,Second,3.39,82.16,38,No,Yes,Dissatisfied,No,High School,No,Medium
S3281,19,Female,Economics,First,2.55,58.35,7,No,No,Very Satisfied,Yes,High School,Yes,High
S3282,20,Male,Chemistry,Third,2.83,74.4,33,Yes,No,Very Satisfied,Yes,PhD,Yes,Medium
S3283,25,Male,Computer Science,Second,2.72,59.23,23,Yes,Yes,Dissatisfied,No,Bachelor's,Yes,Medium
S3284,25,Male,Chemistry,Fourth,2.48,80.3,24,No,Yes,Dissatisfied,No,Bachelor's,No,High
S3285,29,Non-binary,Biology,First,,67.07,25,Yes,Yes,Very Dissatisfied,Yes,PhD,Yes,High
S3286,24,Non-binary,Physics,Third,3.2,59.78,24,No,No,Neutral,No,Bachelor's,No,Low
S3287,23,Non-binary,Mathematics,Third,2.68,62.14,32,No,Yes,Dissatisfied,Yes,Master's,No,Low
S3288,26,Non-binary,Economics,Second,2.86,83.75,31,Yes,No,Very Dissatisfied,Yes,PhD,No,Low
S3289,21,Male,Chemistry,Second,2.94,70.4,29,Yes,Yes,Neutral,Yes,PhD,No,Low
S3290,29,Female,Biology,Second,,75.66,6,No,Yes,Satisfied,Yes,Bachelor's,No,Medium
S3291,18,Female,Economics,Fourth,2.8,91.07,28,No,Yes,Satisfied,No,PhD,Yes,Medium
S3292,25,Non-binary,Economics,Fourth,2.11,82.77,37,Yes,No,Satisfied,Yes,High School,No,Medium
S3293,24,Female,Mathematics,Fourth,2.77,73.12,23,No,Yes,Dissatisfied,Yes,PhD,No,Medium
S3294,24,Female,Economics,First,3.75,97.7,30,Yes,No,Neutral,Yes,PhD,Yes,Low
S3295,20,Female,Biology,Fourth,2.73,60.73,7,No,No,Neutral,Yes,PhD,No,Low
S3296,21,Non-binary,Economics,Second,2.43,,31,No,No,Satisfied,No,Master's,Yes,Medium
S3297,27,Male,Economics,Third,2.75,95.57,18,No,No,Very Satisfied,No,Master's,Yes,Medium
S3298,26,Male,Chemistry,Third,3.78,92.66,24,No,Yes,Neutral,Yes,High School,No,Medium
S3299,23,Female,Chemistry,Second,2.78,56.5,39,No,Yes,Neutral,Yes,High School,Yes,Medium
S3300,22,Male,Physics,Fourth,2.23,,27,No,Yes,Very Dissatisfied,Yes,Bachelor's,No,Medium
S3301,20,Male,Computer Science,Fourth,2.09,,29,No,Yes,Satisfied,Yes,High School,Yes,Low
S3302,26,Non-binary,Biology,Second,,91.12,8,Yes,No,Very Satisfied,No,PhD,No,Medium
S3303,22,Non-binary,Computer Science,Third,3.41,63.94,6,No,No,Very Dissatisfied,No,Bachelor's,Yes,Medium
S3304,22,Female,Computer Science,First,3.22,59.43,6,Yes,No,Very Satisfied,No,Master's,Yes,Low
S3305,21,Female,Economics,Third,3.55,72.44,29,No,No,Very Satisfied,Yes,Bachelor's,No,Medium
S3306,21,Female,Mathematics,Fourth,,94.85,27,No,No,Very Satisfied,Yes,Master's,Yes,Low
S3307,29,Non-binary,Mathematics,Third,3.01,89.29,25,No,No,Dissatisfied,No,PhD,Yes,Low
S3308,18,Male,Economics,Fourth,1.68,98.35,29,No,No,Neutral,No,PhD,No,Low
S3309,24,Non-binary,Biology,Third,3.69,77.05,31,Yes,Yes,Neutral,No,Master's,Yes,High
S3310,26,Non-binary,Computer Science,Second,2.27,75.53,15,Yes,No,Very Dissatisfied,Yes,Bachelor's,No,High
S3311,20,Male,Physics,Fourth,4.16,50.65,18,No,Yes,Very Satisfied,No,Master's,No,High
S3312,29,Male,Computer Science,First,2.62,59.03,21,Yes,No,Very Satisfied,Yes,High School,No,Low
S3313,19,Female,Mathematics,First,2.64,74.88,19,Yes,No,Neutral,Yes,PhD,Yes,High
S3314,20,Male,Computer Science,Second,2.73,87.63,35,Yes,No,Very Satisfied,Yes,Master's,No,High
S3315,18,Male,Chemistry,Third,3.01,91.13,38,No,No,Very Satisfied,Yes,Bachelor's,Yes,Low
S3316,23,Male,Chemistry,Second,2.31,64.16,17,No,Yes,Very Satisfied,No,Master's,Yes,Medium
